"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"288","Hunter Bigge","RP","RP575",-10.8815454520018,2.73234849594737,1.38316666666667,47.6302666666667,0,4.4627152173913,1.41395869565217,46,9.31896521739131,2.02580839070422
"289","Hunter Harvey","RP","RP223",-9.24540359684415,NA,0.0509,1.0631,0,3.55302,1.1989,1,9.5679,3.43378552971576
"290","Hunter Stratton","RP","RP360",-9.39284415198604,NA,0.0461,0.9525,0,4.15116,1.3301,1,8.5725,2.42613346917983
"291","Hunter Strickland",NA,"NA146",-7.9461628110002,4.5809910041561,1.66666666666667,36.4491346666667,6.68666666666667,4.78557864014193,1.39655314955447,42.1453736666667,7.78358769801234,2.09583970637384
"292","Hyun Jin Ryu",NA,"NA546",-10.4647640428361,NA,0.0562,0.7212,0,4.21938,1.3177,1,6.4908,2.90338164251208
"293","Héctor Santiago",NA,"NA261",-9.34234055825992,NA,0.0485,0.9705,0,3.96063,1.2809,1,8.7345,2.68539014941893
"294","Ian Anderson","SP/RP","SP/RP593",-11.5783652070653,5.16768389016823,0.47935,9.6614325,0,3.73448314140121,1.30384309365815,9.675122,8.98726574197204,2.85871476919745
"295","Ian Gibaut","RP","RP625",-13.0882673495626,5.31909314704192,2.33333333333333,41.8050053333333,0,4.57438536459351,1.40978509111702,40.8120403333333,9.21897177712776,2.45015557992654
"296","Ian Hamilton","RP","RP29",-0.801203475768757,3.12164360536126,2.340625,46.901224,0.784,3.67742063447004,1.29938314778888,42.16184125,10.0116836334798,2.55950193501346
"297","Ian Krol",NA,"NA364",-9.39487880595232,NA,0.0463,0.9316,0,4.00815,1.359,1,8.3844,2.2378092721595
"298","Ian Seymour",NA,"NA543",-10.4606170528763,NA,0.0534,0.8794,0,4.31433,1.3105,1,7.9146,2.51328951128894
"299","Isaac Mattson",NA,"NA719",-23.0172532492063,7.52434121094471,0.666666666666667,34.1729906666667,0,5.36445757918883,1.58634371064643,34.834836,8.82900427606434,1.593537608603
"300","J.B. Bukauskas",NA,"NA182",-8.73836687054015,NA,0.4867,8.8724,0,3.77532,1.29088,10,7.98516,2.72410193429536
"301","J.B. Wendelken",NA,"NA432",-9.4140162678661,NA,0.0469,0.9125,0,4.17555,1.3606,1,8.2125,2.26090188305253
"302","J.C. Mejía",NA,"NA418",-9.40915564572641,NA,0.0471,0.9193,0,4.12209,1.3635,1,8.2737,2.30632212744606
"303","J.T. Ginn","SP","SP717",-22.1798174602541,3.93079303899044,2.5,98,0,4.79268292682927,1.40243902439024,123,7.17073170731707,2.20224719101124
"304","JT Brubaker","SP/RP","SP/RP552",-10.4754889644558,NA,0.0602,0.8981,0,4.44087,1.3331,1,8.0829,2.76508620689655
