"","player_name","position","position_rank","dollars","dollars_sd","w","so","sv","era","whip","ip","k_9","k_bb"
"114","Cody Bradford","SP","SP254",-8.83264765497367,2.79508909750325,2.94356666666667,48.6077,0,4.08355750795934,1.16048887935956,53.4801333333333,8.18003383187776,4.34719265923766
"115","Cole Henry",NA,"NA452",-16.0752390446006,2.83931945248502,1.2088,35.1828333333333,0,4.67330302424727,1.42502942090772,36.0288,8.7886773914202,2.08547300701622
"116","Cole Ragans","SP","SP40",16.5232499331849,10.2864500555999,11.183825,199.45,0,3.58380442944815,1.22629213611227,175.45075,10.2310762421933,3.02707789091061
"117","Cole Sands","RP","RP120",0.280532949320857,0.485632787803233,3.73097,68.358225,0.9935,3.74701704031548,1.21395585356343,62.19075,9.89253265155992,3.34270457543347
"118","Colin Holderman","RP","RP185",-4.80515354343112,2.13129364126141,2.757285,60.375075,6.2315,3.92740085060225,1.31538905449069,59.740025,9.0956720389722,2.37985492264742
"119","Colin Poche","RP","RP258",-8.92880031301277,5.69806180666713,3.239095,49.94475,0,4.22297021764824,1.29617163039196,54.256125,8.28482959297222,2.29179261570582
"120","Colin Rea","SP/RP","SP/RP499",-19.7262569336433,3.15728610852407,4.3454925,69.596725,0,4.58322510766956,1.29936245245343,87.66405,7.14512419857399,2.81209682795905
"121","Colin Selby",NA,"NA297",-10.1676636185028,3.17143286964635,2.12833333333333,48.1137,0,3.94451050929237,1.35948647331134,46.8395,9.24483181929781,2.18171388840605
"122","Collin Snider","RP","RP373",-12.7537923634553,2.56249842770155,2.995115,55.910125,1.0115,4.207442616897,1.3801701668862,60.6581,8.29553060514589,2.18036312655808
"123","Connor Gillispie",NA,"NA516",-21.5653016726163,2.24375830668789,2.51113333333333,49.8034333333333,0,4.81019360332607,1.4262829664137,59.8905,7.48417361685075,2.02985198318083
"124","Connor Thomas",NA,"NA279",-9.64439132345368,4.9408574812469,2.2084325,32.871,0,4.03961729921299,1.31315334559761,43.255725,6.83930277437264,2.73143695221793
"125","Cooper Criswell","SP/RP","SP/RP482",-18.0699809632536,2.71207670965092,2.38833333333333,33.3314,0,4.43407982641466,1.34205371248025,43.7825,6.85165534174613,2.70544149955087
"126","Corbin Burnes","SP","SP25",22.604455455865,16.0332679495825,12.654875,181.0185,0,3.56014971252917,1.17960326044233,184.4535,8.83239678292903,3.38485516263876
"127","Craig Kimbrel","RP","RP193",-5.19299396119641,0.915450227615429,3.0384075,55.836125,0,3.97303434588456,1.2881288935443,45.3475,11.0816500358344,2.56755296462817
"128","Craig Yoho",NA,"NA160",-2.9474182857967,2.76170237450305,2.88266666666667,60.9786,0,3.67526645477596,1.24729322535857,52.8889,10.3766083242419,2.77467636374667
"129","Cristopher Sánchez","SP","SP78",6.31770278027259,5.36315436333974,10.552,142.928,0,3.69642400133105,1.23656905601016,165.2825,7.78274771981305,3.21674630999061
"130","DJ Herz","SP","SP375",-12.8942761788766,4.75883659932981,3.2198225,62.7264,0,4.12973958973312,1.3347817396105,57.7819,9.77014601458242,2.22409198972455
"131","DL Hall","SP/RP","SP/RP429",-15.27407029924,3.40951212959791,2.1337,45.8534666666667,0,4.06662071687885,1.36009377486572,42.8970666666667,9.62026618758703,2.31513788797296
"132","Daniel Lynch IV","SP/RP","SP/RP397",-13.9223924933744,4.71151797473289,3.4892,55.7584,0,4.34765882611563,1.32983455513395,69.7513333333333,7.19449472889407,2.67483681556081
"133","Daniel Palencia","RP","RP285",-9.89046911671849,4.14378900986706,1.61926666666667,41.1421,0,3.97804684471843,1.35922589933369,36.1193333333333,10.2515430332786,2.24621782214255
